UDS_Scale,CSF_Scale,Is_Baseline,Replication,Method,Expected_Makespan,Overtime_Prob,Error
0.3,0.4,False,24,Deterministic,690.25,0.08,
0.3,0.4,False,24,Age-Stratified,694.1,0.11,
0.3,0.4,False,25,Stochastic-MILP,685.45,0.04,
0.3,0.4,False,25,LPT,685.3,0.05,
0.3,0.4,False,25,Deterministic,685.3,0.07,
0.3,0.4,False,25,Age-Stratified,691.05,0.1,
0.3,0.4,False,26,Stochastic-MILP,687.2,0.05,
0.3,0.4,False,26,LPT,685.15,0.05,
0.3,0.4,False,26,Deterministic,685.15,0.05,
0.3,0.4,False,26,Age-Stratified,689.15,0.1,
0.3,0.4,False,27,Stochastic-MILP,691.85,0.06,
0.3,0.4,False,27,LPT,691.85,0.06,
0.3,0.4,False,27,Deterministic,691.85,0.15,
0.3,0.4,False,27,Age-Stratified,695.3,0.15,
0.3,0.4,False,28,Stochastic-MILP,685.3,0.04,
0.3,0.4,False,28,LPT,685.3,0.02,
0.3,0.4,False,28,Deterministic,685.3,0.02,
0.3,0.4,False,28,Age-Stratified,689.65,0.11,
0.3,0.4,False,29,Stochastic-MILP,689.35,0.02,
0.3,0.4,False,29,LPT,688.45,0.02,
0.3,0.4,False,29,Deterministic,688.45,0.07,
0.3,0.4,False,29,Age-Stratified,689.85,0.08,
0.3,0.4,False,30,Stochastic-MILP,687.95,0.0,
0.3,0.4,False,30,LPT,687.95,0.0,
0.3,0.4,False,30,Deterministic,687.95,0.05,
0.3,0.4,False,30,Age-Stratified,688.1,0.07,
0.3,0.8,True,1,Stochastic-MILP,690.4,0.05,
0.3,0.8,True,1,LPT,690.4,0.05,
0.3,0.8,True,1,Deterministic,690.4,0.13,
0.3,0.8,True,1,Age-Stratified,697.15,0.2,
0.3,0.8,True,2,Stochastic-MILP,690.75,0.04,
0.3,0.8,True,2,LPT,690.0,0.02,
0.3,0.8,True,2,Deterministic,690.0,0.08,
0.3,0.8,True,2,Age-Stratified,690.75,0.06,
